fruit_id,name,roman_name,type,description
47,Barrier Fruit,Bari Bari no Mi,Paramecia,"Allows its user to generate almost invisible barriers allowing them to reflect or block any attack. Its barriers can take a whole series of diverse forms (racket, stairs, etc.)."
48,Fruit of Couture,Nui Nui no Mi,Paramecia,Allows the user to sew and unsew everything on flat surfaces. These seams are strong enough to keep people 'hanging' to the ground.
49,Fruit of the Gaze,Giro Giro no Mi,Paramecia,"Allows its user to read people's minds, transmit their own memories to someone else as well as generate tears of various shapes (e.g. whale-shaped tears with enough power to pulverize wooden boxes and knock out a group of people). It also allows its user to observe events that take place far from him by “transmuting” his gaze into a bird's eye to observe from the skies everything that is happening within a given perimeter."
50,Fruit of Art,Ato Ato no Mi,Paramecia,Allows its user to create a mist that transforms everything it touches into a work of art. Any being or object transformed into a work of art loses its original functionality.
51,Pelisse fruit,Jake Jake no Mi,Paramecia,Allows its user to appropriate the physical and mental abilities of a living being (human or animal) by wearing it in the same way as a jacket.
52,Paf-Paf fruit,Pamu Pamu no Mi,Paramecia,Allows you to inflate an object to the breaking point and cause it to explode as well as make its user explode by simple contact.
53,Fruit of Splashing,Sui Sui no Mi,Paramecia,Allows the user to liquefy all surfaces around them. It can therefore swim in surfaces such as walls or even the floor.
54,Ton-Tonne Fruit,Ton Ton no Mi,Paramecia,"Its user can float in the air and then land on the enemy to crush them to the ground, very quickly."
55,Windfly Fruit,Hira Hira no Mi,Paramecia,Allows you to transform the hard consistency of an object such as a steel cape into that of a flag. Its user can even make a sword 'soft' and then re-solidify it once it has taken a different form. It can also become a flag itself capable of flying.
56,Fruit of the Stone,Ishi Ishi no Mi,Paramecia,Allows its holder to blend into stone and create any form they desire as an exponentially larger clone of themselves. He can modify and control the shape of any object or structure made of rocks at will.
57,Brush Fruit,Fude Fude no Mi,Paramecia,"Allows the user to generate ink from their body and transform designs created with that ink into three-dimensional, realistic objects."
58,Mute Fruit,Nagi Nahi no Mi,Paramecia,Allows you to create soundproof barriers to completely cancel out the sounds it produces (or from an area where it is located) and those coming from outside.
59,Fruit of Healing,Chiyu Chiyu no Mi,Paramecia,"Allows you to temporarily heal any living being through its user's cries. He can permanently heal the injured by taking a little vital energy from healthy people (this energy takes the form of a dandelion flower). By extension, its user can repair any object but at the expense of its life expectancy."
60,Soul Fruit,Soru Soru no Mi,Paramecia,"Allows you to manipulate the souls of human beings to the user's wishes. The latter can introduce a soul into an object or an animal to make it alive in order to humanize it, that is to say, to give them consciousness and the gift of speech. These beings are called 'Homies'. The user can also divide their own soul into fragments which live as an avatar of the fruit eater. The main role of these avatars is to collect fragments of the lives of living beings in order to redistribute them to their owner. People who have no fear of dying or possess psychic power are more resistant to this fruit."
61,Mirror Fruit,Mira Mira no Mi,Paramecia,"Allows its user to be able to repeat the gestures of their opponents and to reflect their attacks. It is also possible to mirror people onto animals. Living beings can be captured in mirrors and find themselves in a world where mirrors are only the access points to this world. These mirrors are sources of information for its user and people currently in the ""mirror"" world following questions that may be asked by them (for example, communication of a person's position, etc. .)"
62,Fruit of the Léchouille,Pero Pero no Mi,Paramecia,"Allows the user to transform objects into candies and then lick them. It can also transform living beings into candy, which will have the effect of killing them. In addition, its user can create complex objects such as escalators having the same functions as their 'real' versions. On the other hand, sweets can melt after a certain period of time due to heat or fire and also be eaten."
63,Cookie Fruit,Bisu Bisu no Mi,Paramecia,Allows the user to produce and handle cookies as desired. Its user can cover himself with cookies in order to create an alter-ego different from himself and create a multitude of copies of this same alter-ego. The biscuit can be rendered ineffective via the use of water and therefore easier for an enemy to eat them.
64,Fruit of the Cream,Kuri Kuri no Mi,Paramecia,Allows the user to produce and handle cream as desired.
65,Butter Fruit,Bata Bata no Mi,Paramecia,Allows the user to produce and handle butter as desired.
66,Fruit of the Book,Buku Buku no Mi,Paramecia,"Allows the user to manipulate books as desired and create dimensions within the book's pages to trap objects or living beings within them. However, burning the books will free those confined inside."
67,Fruit of the Press-Press,Shibo Shibo no Mi,Paramecia,Allows the user to transmit and withdraw liquid from objects and living things.
68,Fruit of Memories,Memo Memo no Mi,Paramecia,"Allows the user to extract a person's memory in film format. Through this, he can manipulate the person's memory by subtracting unwanted memories and/or inserting memories previously taken from other victims. When some people become amnesiac, its user can make them temporarily recover their memories."
69,Sticky Rice Fruit,Mochi Mochi no Mi,Paramecia,"Allows the user to generate glutinous rice at will. He can thus block anyone's attacks and also trap them in a large amount of sticky rice. In addition, it has several similarities with the Gum Gum fruit, such as elongating limbs or blocking all gunfire. However, the substance dissolves after receiving a large amount of water. This is a special Paramecia."
70,Fruit of the Lamp,Hoya Hoya no Mi,Paramecia,Allows the user to bring out a powerful genie from their body and attack opponents with it. This genius is armed with a halberd.
71,Fruit of Heat,Netsu Netsu no Mi,Paramecia,Allows the user to heat parts of their body and transfer heat to objects. The heat generated by its user makes it more resistant to bladed weapons.
72,Cook's Fruit,Kuku Kuku no Mi,Paramecia,Allows the user to transform natural objects into ingredients to then be eaten.
73,Fruit of Mixedness,Gocha Gocha no Mi,Paramecia,Allows the user to merge with other people.
74,Fruit of Exaltation,Kubu Kobu no Mi,Paramecia,Allows the user to motivate people into a fight and awaken their latent power to fight.
75,Rickshaw Fruit,Oshi Oshi no Mi,Paramecia,Allows the user to manipulate and move through rock like clay. It thus makes it possible to create tunnels.
76,Millet Fruit,Kibi Kibi no Mi,Paramecia,"Allows the user to generate dangos and then make servile any animal that consumes them. This works on SMILES users, but not on Zoan-type Devil Fruit users."
77,Fruit of Time,Toki Toki no Mi,Paramecia,Allows the user to be able to travel to the future.
78,Fruit of Ripening,Juku Juku no Mi,Paramecia,Allows the user to mature and decompose inanimate objects. It can also cause living beings to age.
79,Scroll Fruit,Maki Maki no Mi,Paramecia,"Allows the user to create and manipulate scrolls at will. Scrolls have special properties, such as the power to store items or attacks inside them."
80,Smoke Fruit,Moku Moku no Mi,Logia,the body of the one who eats it turns into smoke. He can then create smoke to catch his opponents and can propel himself with his smoke to move faster and thus fly.
81,Sand Fruit,Suna Suna no Mi,Logia,"the body of the one who eats it turns into sand. He can control the sand as he wishes and can dry up the humidity with his hands, for example being able to dry up the water present in his opponent's body and therefore kill him, sending waves of sand, blades of sand and sandstorms sweeping away everything in their path. However, his body becomes solid again if it comes into contact with a liquid (blood, water, etc.)."
82,Pyro-Fruit,Mera Mera no Mi,Logia,"the body of the one who eats it turns into fire. It can therefore create powerful explosions and control ambient temperatures. He can also use his fire to propel himself and go much faster. However, fire cannot resist magma."
83,Fulguro-Fruit,Goro Goro no Mi,Logia,"the body of whoever eats it turns into lightning. It can therefore move at the speed of lightning and strike anything except non-conductive elements such as rubber. He can create powerful thunderstorms or very powerful spheres of lightning. By combining Haki with lightning, its user can hear things more than 1 kilometer away. He can also self-revive if he falls unconscious."
84,Frost Fruit,Hie Hie no Mi,Logia,"the body of whoever eats it turns into ice. He is capable of freezing anything and almost anyone, launching powerful waves of icy air that can freeze anything in their path, and is immune to temperature differentials when it intensifies the ambient cold. Its user can neutralize opponents in the blink of an eye or even freeze a large body of water for 1 week."
85,Fruit of Darkness,Yami Yami no Mi,Logia,"the body of the one who eats it turns into darkness. He becomes able to modify gravity in order to attract and absorb almost anything in a 'black hole' and subsequently release them. It also cancels the powers of other devil fruit users when it touches them. Furthermore, it is the only Logia that cannot avoid physical blows, its user therefore acquires a strong sensitivity to pain. Note that he can absorb the power of his possessor's devil fruit like Marshall D. Teach will do with Whitebeard."
86,Luminescent Fruit,Pika Pika no Mi,Logia,"the body of the one who eats it is transformed into light. He is then able to move around and hit almost anyone quickly. He can also move at the speed of light, emit explosive and light rays, blind his enemies and create weapons made of light (sword, spear, etc.)."
87,Magma Fruit,Magu Magu no Mi,Logia,"the body of whoever eats it turns into lava. He can then melt anything he wants and almost anyone. He can also create giant hands of lava which, after being launched into the atmosphere, bring volcanic particles back down to dry land which can cause great damage. Fire is powerless against magma."
88,Fruit of the Marsh,Numa Numa no Mi,Logia,"the body of the one who eats it turns into mud and becomes a living swamp. He can create bottomless swamps to prevent his victims from escaping: the more his victims struggle, the deeper they sink. Thanks to this principle, he can lock them in his body while maintaining its initial size. This also allows you to keep weapons in your own body, such as a machine gun or a scythe, and bring them out to use when needed."
89,Gas Fruit,Gasu Gasu no Mi,Logia,"the body of the person who eats it turns into gas. Thus, his body can change shape as he wishes. He can float very high and slip through any narrow or normally inaccessible passage. He appears to be immune to certain poisons, can create others such as hallucinogenic gases, and can even purify poisoned air. It can suffocate its victims by depriving them of oxygen. He is also capable of creating an explosive gas as well as spitting a ray capable of melting metal."
90,Snowflake Fruit,Yuki Yuki no Mi,Logia,"the body of the one who eats it turns into snow. It can create a violent blizzard, solid barriers of snow, or even igloos. He can also cool his opponents through his body in order, for example, to put them in a state of stasis. He can also transform into a snow 'monster', equipping himself with a pair of snow wings and transforming these parts into ice as sharp and strong as steel. It also allows you to give shape to snow creatures (e.g. snow bunnies) and use them as a projectile. Finally, its user can use his power to manipulate snow spikes that serve as sabers."
91,"Bovine Fruit, Bison version",Ushi Ushi no Mi,Zoan,"Whoever eats it becomes half bison. His speed, reflexes and strength are significantly increased."
92,Fruit of Human,Hito Hito no Mi,Zoan,"whoever eats it becomes half human. Its user being basically a reindeer, it has therefore acquired an intelligence allowing it to acquire a large quantity of knowledge. Before the timeskip, Chopper had to take a Rumble-Ball to have more transformations for 3 minutes1 (if after 3 minutes he took a Rumble-Ball again, he no longer controlled his transformations and if he took a 3rd Rumble-Ball , he became a gigantic but unconscious monster, destroying enemies and allies alike). After the timeskip, he masters all the transformations perfectly and when he takes a Rumble-Ball he becomes the gigantic monster but with self-control."
93,"Fruit of the Volatile, Falcon version",Tori Tori no Mi,Zoan,"whoever eats it becomes half hawk. This power gives him keen eyesight, surprising speed and the ability to fly."
94,Burrowing Fruit,Mogu Mogu no Mi,Zoan,whoever eats it becomes half mole. It can thus dig gigantic galleries in almost any material.
95,"Fruit of the Canine, Basset version",Inu Inu no Mi moderu Dakkusufunto,Zoan,"whoever eats it becomes half basset hound. Since its user is a gun, this made it a half-gun, half-dog being."
96,"Fruit of the Canine, Jackal version",Inu Inu no Mi moderu Jakkaru,Zoan,he who eats it becomes half jackal. Its agility in hybrid form is then clearly above average.
97,Horse Fruit,Uma Uma no Mi,Zoan,"whoever eats it becomes half horse. Since its user is a bird, this made it a half-bird, half-horse being. This transforms him into a type of pegasus."
98,"Feline Fruit, Leopard version",Neko Neko no Mi moderu: Hyō,Zoan,"whoever eats it becomes half leopard. His strength and speed are thus increased impressively and with Rokushiki techniques, he can access a second, smaller and more agile hybrid form."
99,Pachyderm Fruit,Zo Zo no Mi,Zoan,"whoever eats it becomes half elephant. Since its user is a sword, this made it a half-sword, half-elephant being. Having acquired consciousness and therefore a certain intelligence, it can have phenomenal scope."
100,"Canine Fruit, Wolf version",Inu Inu no Mi moderu: Ōkami,Zoan,whoever eats it becomes half wolf. His strength and speed are greater in hybrid form.
101,"Bovine Fruit, Giraffe version",Ushi Ushi no Mi moderu Kirin,Zoan,whoever eats it becomes half giraffe. His kicks and nose strikes are much more powerful (especially with Rokushiki's Shigan).
102,"Reptile Fruit, Anaconda version",Hebi Hebi no Mi moderu: Anakonda,Zoan,allows its user to transform into an anaconda as they please: the user can transform their hair into snakes as hard as steel.
103,"Reptile Fruit, Royal Cobra version",Hebi Hebi no Mi moderu: Kingu Kobura,Zoan,"allows the user to transform into a cobra as they please: it can launch jets of deadly poison, can transform its hair into a snake and is impervious to fire."
104,Turtle Fruit,Kame Kame no Mi,Zoan,"whoever eats it can transform into a turtle with an indestructible shell. Being as strong as diamond, it protects its user against, among other things, gunshots and building collapses."
105,Egg Fruit,Tama Tama no Mi,Zoan,"allows the user to transform their body composition into an egg. Each time it is seriously injured, its user regenerates into an increasingly advanced chicken form and exponentially increases their physical abilities."
106,"Salamander fruit, Axolotl version",Sara Sara no Mi moderu: Ahorōtoru,Zoan,"whoever eats it can transform into an axolotl, the user being a huge living gelatinous mass made of a flammable product, it can move much faster to charge its victims and subdivide into a multitude of small creatures like the original version ."
107,"Insect Fruit, Beetle-Rhinoceros version","Mushi Mushi no Mi, Moderu Kabutomushi",Zoan,whoever eats it can turn into a rhinoceros beetle. It allows its user to fly.
108,"Insect Fruit, Wasp version","Mushi Mushi no Mi, Moderu Suzumebachi",Zoan,whoever eats it can turn into a wasp. It allows its user to fly.
109,"Fruit of the Volatile, Albatross version",Tori Tori no Mi Moderu Arubatorosu,Zoan,whoever eats it can turn into an albatross.
110,"Canine fruit, Tanuki version",Inu Inu no Mi Moderu Bake-danuki,Zoan,whoever eats it can transform into a tanuki.
111,"Dinosaur fruit, Allosaurus version",Ryū Ryū no Mi Moderu Arosaurusu,Zoan Antique,whoever eats it can turn into an allosaurus.
112,"Fruit of the Pachyderm, Mammoth version","Zō Zō no Mi, moderu Manmosu",Zoan Antique,whoever eats it can turn into a mammoth. It increases the strength and reach of its owner in an exceptional way. He also has a certain resistance against physical attacks given the hardness of his skin.
113,"Dinosaur fruit, Spinosaurus version",Ryū Ryū no Mi Moderu Supinosaurusu,Zoan Antique,whoever eats it can turn into a spinosaurus.
114,"Dinosaur fruit, Pteranodon version",Ryū Ryū no Mi Kodai-shu Moderu Puteranodon,Zoan Antique,whoever eats it can turn into a pteranodon.
115,"Dinosaur fruit, Brachiosaurus version",Ryū Ryū no Mi Moderu Burakiosaurusu,Zoan Antique,whoever eats it can turn into a brachiosaurus.
116,"Dinosaur fruit, Pachycephalosaurus version",Ryū Ryū no Mi Moderu Pakikefarosaurusu,Zoan Antique,whoever eats it can turn into a pachycephalosaurus.
117,"Dinosaur fruit, Triceratops version",Ryū Ryū no Mi Moderu Torikeratopusu,Zoan Antique,whoever eats it can turn into a triceratops.
118,"Spider fruit, Rosamygale grauvogeli version",Kumo Kumo no Mi Moderu Rosamigare Guraubogerī,Zoan Antique,whoever eats it can turn into rosamygale grauvogeli.
119,"Fruit of the Feline, Saber-toothed Tiger version",Neko Neko no Mi Moderu Sāberutaigā,Zoan Antique,whoever eats it can turn into a saber-toothed tiger.
120,"Fruit of the Feline, Saber-toothed Tiger version","Tori Tori no Mi, Moderu Fenikkusu",Mythical Zoan,whoever eats it can transform into a phoenix. He can regenerate himself and also heal the wounds of other living beings.
121,"Fruit of the Human, Buddha version",Hito Hito no Mi moderu Daibutsu,Mythical Zoan,whoever eats it can transform into an imposing Daibutsu which greatly increases their physical strength. It can generate shock waves.
122,"Fruit du Poisson, Azure Dragon version","Uo Uo no Mi, Moderu Seiryū",Mythical Zoan,whoever eats it can transform into an azure dragon.
123,"Fruit of the Canine, Nine-Tailed Fox version","Inu Inu no Mi, Moderu Kyūbi no Kitsune",Mythical Zoan,whoever eats it can turn into a nine-tailed fox.
124,"Reptile Fruit, eight-headed Dragon version",Hebi Hebi no Mi moderu Yamata no Orochi,Mythical Zoan,whoever eats it can transform into an eight-headed dragon.
125,"Human Fruit, Onyudo version","Hito Hito no Mi, Moderu: Ōnyūdō",Mythical Zoan,whoever eats it can transform into Onyudo
126,"Canid Fruit, Divine Wolf version",Inu Inu no Mi Moderu Ōkuchi no Makami,Mythical Zoan,whoever eats it can transform into a divine wolf.
127,Sheep SMILE,,smile,it allows you to transform into a sheep.
128,Bat SMILE,,smile,it allows you to transform into a bat.
129,Gazelle SMILE,,smile,it allows you to transform into a gazelle.
130,Mouse SMILE,,smile,it allows you to transform into a mouse.
131,Lion SMILE,,smile,it allows you to transform into a lion.
132,horse SMILE,,smile,it allows you to transform into a horse.
133,snake SMILE,,smile,it allows you to transform into a snake.
134,rabbit SMILE,,smile,it allows you to transform into a rabbit.
135,hippopotamus SMILE,,smile,it allows you to transform into a hippopotamus.
136,Alpaca SMILE,,smile,it allows you to transform into an alpaca.
137,SMILE of the elephant,,smile,it allows you to transform into an elephant.
138,SMILE of the scorpion,,smile,it allows you to transform into a scorpion.
139,SMILE of the monkey,,smile,it allows you to transform into a monkey.
140,SMILE of the armadillo,,smile,it allows you to transform into an armadillo.
141,SMILE of the ostrich,,smile,it allows you to transform into an ostrich.
142,SMILE of the flying squirrel,,smile,it allows you to transform into a flying squirrel.
143,SMILE of the white snake,,smile,it allows you to transform into a white snake.
144,SMILE of the gorilla,,smile,it allows you to transform into a gorilla
145,SMILE of the rooster,,smile,it allows you to transform into a rooster
146,Giraffe SMILE,,smile,it allows you to transform into a giraffe
147,Rattlesnake SMILE,,smile,it allows you to transform into a rattlesnake
148,heterodon SMILE,,smile,it allows you to transform into a heterodon
149,Caiman SMILE,,smile,it allows you to transform into a caiman
150,Pug SMILE,,smile,it allows you to transform into a pug
151,Fruit of Vocalise,Goe Goe no Mi,Paramecia,the person who ate this fruit uses sound beams converted into lasers to destroy everything in their path.
152,Whisper Fruit,Hiso Hiso no Mi,Paramecia,"This fruit allows the user to understand the heart of an animal or, in other words, allows the user to talk to animals. He cannot control the will of animals."
153,Fruit of Slash-Slash,Kama Kama no Mi,Paramecia,whoever has eaten this fruit can create blades of air as sharp as the blade of a saber.
154,Unbreakable Fruit,Kachi Kachi no Mi,Paramecia,whoever eats it becomes as hard as rock and can increase the heat of specific bodily members so that his opponent gets burned when touching them.
155,Fruit of Sleep,Nemu Nemu no Mi,Paramecia,This fruit can put anyone to sleep via hypnosis. The user can thus enter the sleeping person's memory to inflict damage such as memory loss or nightmares.
156,Dwarf Fruit,Mini Mini no Mi,Paramecia,allows its user to shrink at will.
157,Fruit of Heat,Atsu Atsu no Mi,Paramecia,"The user can control their body heat and increase it to over 10,000 degrees, allowing them to melt anything. It therefore becomes insensitive to the cold."
158,Chamquipue fruit,Noko Noko no Mi,Paramecia,"the person who eats this fruit can create poisonous spores. These spores can take various forms (laser rays, clones, etc.). Of course, its user is immune to poison but its power is vulnerable to fire."
159,Net Fruit,Friend Friend no Mi,Paramecia,"This fruit allows its user to eat materials of any type (fire, metal, etc.) and to create nets with the properties of the ingested substance. This fruit is ideal for capturing enemies."
